id,name,slug,aliases,description,sonic_dna
03a2b57e-0faa-4628-b8c9-484cc6889151,Hypertechno,hypertechno,,"Emerged in the 2020s by mixing fast tempos, prominent basslines, and hard-hitting drums derived from popular Techno with simplistic, catchy melodies and vocals, often influenced by 2000s Hard Dance, Eurodance and Electropop.",
03d93180-1cb9-4c34-a0ea-bf0535970a82,Deathstep,deathstep,,"Darker, heavier form of Brostep that uses ""machine gun"" basses, atonal synths, and elements from genres like Death Metal and Metalcore.",
05ec2105-e48d-4964-8cd3-4c41428e9104,Space Ambient,space-ambient,,"Flowing and relaxing synthesizer-based music derived from Progressive Electronic, often oriented around imagery of outer space.",
0685bc59-44eb-484d-abb2-4883f3f34e0b,Broken Beat,broken-beat,,"Choppy, syncopated grooves and loose influence from 1970s Jazz-Funk, with eclectic roots spanning Drum and Bass, Deep House, Acid Jazz, and Afrobeat.",
06de0785-ecf9-4a7e-b31e-fc39930e7cb9,Electro Hop,electro-hop,,Emerged in the mid 2000s featuring upbeat rap verses and catchy hooks over four-on-the-floor Electropop and Electro House-inspired production.,
094f9e2c-36fc-428b-a198-a8235825698c,Bubblegum Bass,bubblegum-bass,,"Originated in the early 2010s, exaggerating the cutest and most feminine parts of 2000s Pop and combining them with bouncy, plastic synths over rhythms and sounds derived from a variety of contemporary club styles.",
09c6cacb-e2ae-480f-b6bf-12da699985f0,Jersey Club,jersey-club,,"Emerged in Newark in the late 2000s; features fast tempos, hard kicks, and less prominent breakbeats.",
0a3fd7ed-0fb5-49c2-9c58-6600dedff133,Digital Cumbia,digital-cumbia,,"Mixes an Electronic sound into traditional Cumbia through influences from House, Dancehall, Hyphy, and Dubstep.",
0ad7f88b-140a-4bfc-9cd3-cbf1a4eb7e91,Acid House,acid-house,,"Emerged in the mid-1980s, characterised by repetitive basslines created with the distinctive modulated ""squelching"" sound of the Roland TB-303 synthesiser.",
0d52be1b-8944-4325-944b-2186fc6d938b,Balearic Beat,balearic-beat,,"Variety of relaxed, laid-back music that originates from the Balearic Islands off the coast of Spain, and particularly the club scene in Ibiza.",
0d5ea531-4fa6-413f-b912-22c90b52d4ff,Comfy Synth,comfy-synth,,"Calm, peaceful and soothing sounds, as well as nostalgic, sentimental, or childish atmospheres and aesthetics; often incorporates wholesome themes while utilizing lo-fi or hazy recordings and influences from New Age.",
1001ee27-f98a-471a-b686-2699fc89cdeb,Glitch Pop,glitch-pop,,Incorporates elements of more experimental Electronic styles like IDM and Glitch.,
149f283a-2678-49a6-b402-0c765244efcc,Post-Dubstep,post-dubstep,,"Minimalistic, atmospheric sound design and eclectic drum patterns, derived from but not fitting Dubstep.",
14e051c1-d915-4959-a8e2-bdf598215379,Big Room House,big-room-house,,"Energetic, festival-oriented style characterized by heavy reverb, intense build-ups, strong kicks, minimalistic drop melodies, and sparse, raw breakdowns.",
1593a819-22e9-4441-9490-607aaaaa89f4,Moombahcore,moombahcore,,"High-pitched synth leads, gritty percussion, a kick-snare pattern, aggressive bass drops, and around 110 BPM while often paralleling Complextro or Brostep.",
164b9dee-b0bf-4e35-b130-d983d4fb75db,Psytrance,psytrance,,Emphasizes a psychedelic feel and an energetic sound; based around influences from Goa Trance and Acid Trance.,
1941db1a-2017-417f-a4b3-89b95a34d19b,Neurofunk,neurofunk,,"Focuses on technical songwriting with warped, complex bass sounds, distorted and modulated synths (often with repeated stabs over the basslines), and dark but clean production.",
19e2d10d-018d-4f8f-a893-06ecaae5778d,Ghetto Funk,ghetto-funk,,"Rich sampling, drawing from classic Hip Hop as well as from Funk and Soul, and strong midtempo break grooves.",
1a4f2a3d-47d5-4ef5-9dc3-959a1bb2a290,Downtempo,downtempo,,Atmospheric and groove-based with relaxed tempos and mellow beats.,
1a54c91c-ed96-477b-aac9-af52e51ba222,Vaportrap,vaportrap,,"Incorporates a blend of Trap percussion set to the re-utilization of old samples, such as 1990s pop culture or old computer library sounds.",
